Country,Date,GDP,Population,Internet Users,Inflation Rate,Unemployment Rate,Education Expenditure,Health Expenditure,Debt to GDP,Exports,Imports,Renewable Energy,Tourist Arrivals,R&D Expenditure,Agriculture Contribution,Manufacturing Contribution,Services Contribution,Political Stability
Netherlands,2006-04,1.28651E+12,17394389.7,16673353.89,-0.063888157,3.247956163,2.348501673,13.66176146,92.07805082,3.1084E+11,1.33948E+11,29.2477463,4489677.41,1.637017332,4.454674377,13.6680902,59.12726729,0.123782158
Russia,2011-09,1.70467E+12,146621867,103398190.3,0.752867891,4.930894746,4.736419905,12.85175961,63.97716475,3.45788E+11,3.72442E+11,6.161260318,29600933.46,1.511572371,2.235980267,28.97771075,78.96896099,1.541986741
Australia,2008-10,1.40964E+12,25460582.57,21634015.6,-0.267770591,5.961415281,2.206331127,14.09320402,68.11459871,3.27747E+11,2.28843E+11,18.00170053,4752919.68,1.554563367,19.42210793,25.50265647,78.18496825,1.974136752
Argantina,2013-08,1.12071E+12,17035418.24,17490269.71,4.067203092,7.978560881,5.238152794,10.86751166,117.5678715,2.48134E+11,1.73935E+11,12.40683764,1555618.769,1.04690922,9.044628133,17.89763036,58.80464524,-2.429600886
United Kingdom,2018-01,3.06924E+12,69973193.68,67168701.33,4.557805271,7.208616204,7.489758053,13.50038578,81.46154719,3.65491E+11,5.3455E+11,21.72103132,15147838.19,2.773893363,6.219714067,21.22486852,61.48780624,2.358560477
Brazil,2002-01,2.00319E+12,206402880.3,137433268.1,-0.757398463,7.685303117,2.665344925,9.393365019,64.12034416,5.59197E+11,3.90771E+11,19.0818893,46209274.9,1.417994363,12.48393021,20.79682183,56.09183674,2.214267853
UAE,2006-11,2.14505E+12,62282807.03,38937416.83,0.773802115,2.843954079,4.739207423,7.184404372,79.15569635,5.93441E+11,3.53652E+11,8.052198868,8661947.726,3.720485325,6.170512738,22.95380241,50.01561131,-0.737155718
Netherlands,2002-07,9.4379E+11,17057952.01,15985826.2,3.154616197,4.15529867,3.464753133,6.682910422,65.31349537,1.99725E+11,1.70606E+11,6.622306178,1935716.837,1.740628189,14.22978118,24.2454118,54.4426079,2.488702425
India,2016-02,2.90311E+12,1318104068,629875334.2,4.449595316,3.916495125,2.869369233,9.894527603,118.9955318,4.30853E+11,6.80567E+11,24.04049038,144212956.7,3.184649046,7.987879522,22.64611661,69.00589132,0.17887342
United States,2015-01,1.8066E+13,331271379.5,306377885.6,4.150152829,4.607671242,3.321446285,12.11149532,106.6650732,3.0664E+12,2.15411E+12,28.51308161,49489626.95,2.553254052,16.91649201,23.51380234,72.05648358,-1.454641896
